code,address
0,Select
55,(Rashidiyah) Centrepoint Metro Station./Dubai
706, Al Rafah Emirates Petrol Station RAK Stop 2
751,7 Up Staff Accommodation 2
79,Abu Dhabi Bus Station / Abu Dhabi
694,Ajman - China Mall Stop 1
689,"Ajman-Sheikh Khalifa Bin Zayed Street,BlackRamada2"
688,"Ajman-Sheikh Khalifa Bin Zayed Street,Splash stop1"
84,Al Ain Bus Station / Al Ain
571,Al Arouba Street Rolla Mall Stop 1
654,Al Batyahe Stop 1
657,Al Dhaid Mosque Safeer Hypermarket
767,Al Dhaid Mosque Safeer Hypermarket Stop 1
656,Al Dhaid Mosque Square R/A
768,Al Dhaid Mosque Square R/A Stop 2
652,Al Khan Interchange stop 1
668,Al Khan Mosque Kalba Stop - 1
760,Al Khan Mosque Stop - Kalba 2
818,Al Khatm Melaha Border
663,Al Luoloaya Cooperative Society Round About
726,Al Luoloaya Cooperative Society Round About Stop 2
808,Al Madam - Al Mahafiz Supermarket Stop 1
812,Al Madam - Al Mahafiz Supermarket Stop 2
607,Al Riffah Bus Terminal
822,Al Saaf 7 Stop 1
555,Al Sharq Street Ajman Mosque Stop 1
547,Al Sharq Street Al Madina Super Market Stop 1
554,Al Sharq Street Al Quds Cultural Institute Stop 2
572,Al Sharq Street Child Nursery Stop 1
549,Al Sharq Street ENOC Petrol Stop 2
633,Al Sharq Street Heirah Hospital Stop 1
551,Al Sharq Street Heirah Hospital Stop 2
553,Al Sharq Street Heirah Police Station Stop 2
548,Al Sharq Street Kuwaity Mosque Stop 1
636,Al Sharq Street Lulu Center 1
573,Al Sharq Street Police Academy stop 1
550,Al Sharq Street Salim Bin Ali Alowais R/A Stop 2
810,Al Shuwaib - Rumaitha Ansariya Mosque Stop 1
811,Al Shuwaib - Rumaitha Ansariya Mosque Stop 2
813,Al Shuwaib- Bus Terminal
809,Al Shuwaib- Bus Terminal
814,Al Soyouh Mall Stop 1
805,Al Soyouh Mall Stop 2
649,Al Wahda Street Carrefour Stop 2
650,Al Wahda Street MAX Stop 2
651,Al Wahda Street Post Office Stop 2
727,Al Zubara Bus Station
749,Atlas Marine Service 2
73,Batayeh/Sharjah
667,Corniche Park Kalba Stop 1
761,Corniche Stop 1
762,Corniche Stop 2
763,Corniche Stop 3
785,Dhaid - Al Amawed Supermarket Stop 1
796,Dhaid - Al Amawed Supermarket Stop 2
786,Dhaid - Industrial Area Stop 1
795,Dhaid - Industrial Area Stop 2
658,Dhaid Adnoc Siji Petrol Station Stop 1
766,Dhaid Adnoc Siji Petrol Station Stop 2
655,Dhaid Police Station R/A Stop 1
798,Dhaid Police Station RA Stop 2
784,Dhaid- Qasr-Al Fakher Garments Tailoring Stop 1
680,Dubai Airport Freezone Authority Stop 1
531,Dubai Airport Terminal 2 Bus Station
675,Dubai Al Nahda Ahli Club Stop 2
678,Dubai Al Nahda Airport Freezone Metro Station
677,Dubai AL Nahda Metro Station Stop 2
676,Dubai Stadium Metro Station Stop 2
823,Government Building - Kalba  Stop 1
605,Hamriyah Free Zone Phase 1  Bus Terminal
697,Hamriyah Free Zone Phase 1 Gate Stop 2
604,Hamriyah Free Zone Phase 1 UAE Exchange Stop 1
627,Hamriyah Free Zone Phase 1 UAE Exchange Stop 2
595,Hamriyah Free Zone Phase 2 Labour Camp 1 Stop 1
596,Hamriyah Free Zone Phase 2 Labour Camp 2 Stop 1
606,Hamriyah Town Stop 1
753,"hmadya Cont., Labour Camp 2"
58,IBN Batutta Metro Station Stop 1
747,Interchange 4 1
653,Ittihad Al Bait Malaki Mandi Stop 1
578,Ittihad Park Stop2
641,Ittihad Rd Ansar Mall Stop 1
674,Ittihad Rd Ansar Mall Stop 2
642,Ittihad Rd Restaurant Complex Stop 1
673,Ittihad Rd Restaurant Complex Stop 2
643,Ittihad Rd Safeer mall Stop 1
644,Ittihad Rd Safeer mall Stop 2
60,Jebel Ali Parco Supermarket / Dubai
594,Jiddah Street Stop 1
696,Jiddah Street Stop 2
9,Jubail Station / Sharjah
672,Kalba Bus Station (Sidra Park)
819,Kalba Corniche Stop 1
817,Kalba Roundabout - (Al Adel Mosque)
670,Kalba Sidra Park Bus Terminal
824,Kalba Sports Club Stop 1
669,Kalba- Industrial Area Al Mishwar Kitchen Stop 2
791,Kalba- VISS School Stop 1
790,Kalba- VISS School Stop 2
759,Khaleej Times 2
579,King Faisal Street ADNOC Petrol Stop 1
582,King Faisal Street Bridge Stop 1
581,King Faisal Street E Max Stop 2
583,King Faisal Street Maza Signal Junction Stop 2
580,King Faisal Street Sharjah Islamic Bank Stop 1
576,Madfa Street ADCB Bank Plus 1 stop 1
577,Madfa Street Panasonic Tower Stop 1
815,Maleha - Municipality Stop 1
816,Maleha - Municipality Stop 2
804,Maleha Street (Industrial Area 18 )
780,Maliha City
788,Maliha Kalba Road - Friday Market Stop 1
793,Maliha Kalba Road - Friday Market Stop 2
