departure,arrival
07:39,07:50
08:09,08:20
08:39,08:50
09:09,09:20
09:39,09:50
10:09,10:20
10:39,10:50
11:09,11:20
11:39,11:50
12:09,12:20
12:39,12:50
13:09,13:20
13:39,13:50
14:02,14:13
14:25,14:36
14:48,14:59
15:11,15:22
15:34,15:45
15:57,16:08
16:20,16:31
16:43,16:54
17:06,17:17
17:29,17:40
17:52,18:03
18:15,18:26
18:38,18:49
19:01,19:12
19:24,19:35
19:47,19:58
20:10,20:21
20:33,20:44
20:56,21:07
21:24,21:35
21:59,22:10
22:34,22:45
23:09,23:20
23:44,23:55
06:09,06:20
06:39,06:50
07:09,07:20
07:39,07:50
08:09,08:20
08:39,08:50
09:09,09:20
09:39,09:50
10:09,10:20
10:39,10:50
11:09,11:20
11:39,11:50
12:09,12:20
12:39,12:50
13:09,13:20
13:39,13:50
14:02,14:13
14:25,14:36
14:48,14:59
15:11,15:22
15:34,15:45
15:57,16:08
16:20,16:31
16:43,16:54
17:06,17:17
17:29,17:40
17:52,18:03
18:15,18:26
18:38,18:49
19:01,19:12
19:24,19:35
19:47,19:58
20:10,20:21
20:33,20:44
20:56,21:07
21:24,21:35
21:59,22:10
22:34,22:45
23:09,23:20
23:44,23:55
06:09,06:20
06:39,06:50
07:09,07:20
07:39,07:50
08:09,08:20
08:39,08:50
09:09,09:20
09:39,09:50
10:09,10:20
10:39,10:50
11:09,11:20
11:39,11:50
12:09,12:20
12:39,12:50
13:09,13:20
13:39,13:50
14:02,14:13
14:25,14:36
14:48,14:59
15:11,15:22
15:34,15:45
15:57,16:08
16:20,16:31
16:43,16:54
17:06,17:17
17:29,17:40
17:52,18:03
18:15,18:26
18:38,18:49
19:01,19:12
19:24,19:35
19:47,19:58
20:10,20:21
20:33,20:44
20:56,21:07
21:24,21:35
21:59,22:10
22:34,22:45
23:09,23:20
23:44,23:55
06:09,06:20
06:39,06:50
07:09,07:20
