code,location,lat,lng
55,(Rashidiyah) Centrepoint Metro Station./Dubai,25.0657,55.17128
706,Al Rafah Emirates Petrol Station RAK Stop 2,47.28167,8.45023
751,7 Up Staff Accommodation 2,47.28167,8.45023
79,Abu Dhabi Bus Station / Abu Dhabi,24.4711042,54.3773633
694,Ajman - China Mall Stop 1,47.27541,8.4897
84,Al Ain Bus Station / Al Ain,24.2191893,55.7715726
571,Al Arouba Street Rolla Mall Stop 1,47.27541,8.4897
654,Al Batyahe Stop 1,47.27541,8.4897
767,Al Dhaid Mosque Safeer Hypermarket Stop 1,47.27541,8.4897
656,Al Dhaid Mosque Square R/A,38.5,-0.5
768,Al Dhaid Mosque Square R/A Stop 2,47.28167,8.45023
652,Al Khan Interchange stop 1,47.27541,8.4897
668,Al Khan Mosque Kalba Stop - 1,47.27541,8.4897
760,Al Khan Mosque Stop - Kalba 2,47.28167,8.45023
726,Al Luoloaya Cooperative Society Round About Stop 2,47.28167,8.45023
808,Al Madam - Al Mahafiz Supermarket Stop 1,47.27541,8.4897
812,Al Madam - Al Mahafiz Supermarket Stop 2,47.28167,8.45023
607,Al Riffah Bus Terminal,-32.89505,-68.83033
822,Al Saaf 7 Stop 1,47.27541,8.4897
555,Al Sharq Street Ajman Mosque Stop 1,47.27541,8.4897
547,Al Sharq Street Al Madina Super Market Stop 1,47.27541,8.4897
554,Al Sharq Street Al Quds Cultural Institute Stop 2,47.28167,8.45023
572,Al Sharq Street Child Nursery Stop 1,47.27541,8.4897
549,Al Sharq Street ENOC Petrol Stop 2,47.28167,8.45023
633,Al Sharq Street Heirah Hospital Stop 1,47.27541,8.4897
551,Al Sharq Street Heirah Hospital Stop 2,47.28167,8.45023
553,Al Sharq Street Heirah Police Station Stop 2,47.28167,8.45023
548,Al Sharq Street Kuwaity Mosque Stop 1,47.27541,8.4897
636,Al Sharq Street Lulu Center 1,39.90512,-99.98036
573,Al Sharq Street Police Academy stop 1,47.27541,8.4897
810,Al Shuwaib - Rumaitha Ansariya Mosque Stop 1,47.27541,8.4897
811,Al Shuwaib - Rumaitha Ansariya Mosque Stop 2,47.28167,8.45023
813,Al Shuwaib- Bus Terminal,-32.89505,-68.83033
809,Al Shuwaib- Bus Terminal,-32.89505,-68.83033
814,Al Soyouh Mall Stop 1,47.27541,8.4897
805,Al Soyouh Mall Stop 2,47.28167,8.45023
649,Al Wahda Street Carrefour Stop 2,47.28167,8.45023
650,Al Wahda Street MAX Stop 2,47.28167,8.45023
651,Al Wahda Street Post Office Stop 2,47.28167,8.45023
727,Al Zubara Bus Station,47.27103,8.8218
749,Atlas Marine Service 2,47.28167,8.45023
73,Batayeh/Sharjah,25.18696,55.8193699
667,Corniche Park Kalba Stop 1,47.27541,8.4897
761,Corniche Stop 1,47.27541,8.4897
762,Corniche Stop 2,47.28167,8.45023
